"Account owner","Kontoinhaber"
"Addressfield to use for housenumber","Addressfield to use for housenumber"
"Billie Order History","Billie Bestellungsübersicht"
"Billie PayAfterDelivery:  The transaction with the id %s was successfully canceled.","Billie PayAfterDelivery: Die Bestellung mit der ID %s wurde erfolgreich storniert"
"Billie PayAfterDelivery: payment accepted for %s","Billie PayAfterDelivery: Die Bezahlung für %s wurde akzeptiert"
"Billie Transaction Log","Billie Transaction Log"
"DEBTOR_ADDRESS","Die Bestellung wurde abgelehnt, da der angegebene Name Ihres Unternehmens oder die Adresse nicht korrekt zu sein scheinen. Bitte achten Sie darauf, dass Ihr Firmenname sowie Ihre Rechnungsanschrift identisch mit dem registrierten Firmennamen und Firmensitz sind."
"DEBTOR_LIMIT_EXCEEDED","Die Bestellung wurde abgelehnt, da der Betrag das verfügbare Limit für offene Bestellungen mit dieser Zahlungsart überschreitet. Bitte kontaktieren Sie unseren Kundenservice oder wählen Sie eine andere Zahlungsart."
"DEBTOR_NOT_IDENTIFIED","Die Bestellung wurde abgelehnt, da kein Unternehmen mit den angegebenen Informationen gefunden werden konnte. Bitte überprüfen Sie die Angabe Ihres Firmennamens und Ihrer Rechnungsanschrift.<br/>Wenn das Problem weiterhin bestehen sollte, wählen Sie bitte eine andere Zahlungsart."
"Duration","Zahlungsziel"
"Female","Frau"
"HR-NR","HR-NR"
"Industry Sector","Industriesektor"
"Invoice Download Url","Invoice Download Url"
"Legal form is a required field.\n","Die ausgewählte Zahlungsart erfordert die Angabe der Rechtsform Ihres Unternehmens."
"Legal Form","Rechtsform"
"Male","Herr"
"MISSING_REGISTRATION_ID","Die ausgewählte Zahlungsart erfordert die Angabe Ihrer Handelsregister-Nummer."
"MISSING_VAT_ID","Die ausgewählte Zahlungsart erfordert die Angabe Ihrer Umsatzsteuer-ID."
"MissingLegalForm","Die ausgewählte Zahlungsart erfordert die Angabe der Rechtsform Ihres Unternehmens."
"Order is not shipped yet","Die Bestellung wurde noch nicht versandt"
"Pay after delivery","Bezahlen nach Versandt"
"please select","Bitte wählen"
"Registration Number","Handelsregisternummer"
"RISK_POLICY","Wir können Ihnen leider die gewählte Zahlungsart zum aktuellen Zeitpunkt nicht anbieten. Bitte wählen Sie eine andere Zahlungsart."
"Salutation","Anrede"
"The input must be between 0 and 120","Bitte wählen Sie einen Wert zwischen 0 und 120 Tagen"
"The input must be numeric only","Bitte geben Sie einen numerischen Wert an"
"This transaction is already closed, refunds with billie payment are not possible anymore","Die Bestellung ist bereits abgeschlossen. Es können keine Äderungen mehr vorgenommen werden"
"Url to invoice document folder","Url to invoice document folder"
"VAT ID","Umsatzsteuer ID"
"VBIC","BIC"
"VIBAN","IBAN"
"You have to create a invoice first","You have to create a invoice first"
